date,india_retail_mobility,india_grocery_mobility,india_transit_mobility,india_workplace_mobility,india_residential_mobility,delhi_retail_mobility,wb_retail_mobility,mh_retail_mobility,tn_retail_mobility,dl_workplace_mobility,wb_workplace_mobility,mh_workplace_mobility,tn_workplace_mobility,dl_transit_mobility,wb_transit_mobility,mh_transit_mobility,tn_transit_mobility
2020-09-21,-39.142857142857146,-6.0,-30.714285714285715,-22.714285714285715,13.428571428571429,-41.0,-37.42857142857143,-52.0,-37.57142857142857,-34.42857142857143,-19.428571428571427,-36.714285714285715,-22.0,-40.285714285714285,-35.57142857142857,-44.857142857142854,-24.0
2020-09-22,-39.142857142857146,-6.142857142857143,-30.571428571428573,-22.714285714285715,13.714285714285714,-41.0,-37.714285714285715,-52.0,-37.714285714285715,-34.57142857142857,-19.714285714285715,-36.857142857142854,-22.0,-39.857142857142854,-35.857142857142854,-44.714285714285715,-23.714285714285715
2020-09-23,-39.57142857142857,-6.714285714285714,-30.571428571428573,-23.0,14.142857142857142,-41.0,-39.0,-52.714285714285715,-38.142857142857146,-34.42857142857143,-20.285714285714285,-37.285714285714285,-21.714285714285715,-39.285714285714285,-37.0,-45.0,-23.571428571428573
2020-09-24,-39.857142857142854,-6.0,-29.714285714285715,-22.571428571428573,14.428571428571429,-41.285714285714285,-39.142857142857146,-52.57142857142857,-38.57142857142857,-34.142857142857146,-18.142857142857142,-36.857142857142854,-21.428571428571427,-38.57142857142857,-35.857142857142854,-44.0,-23.0
2020-09-25,-40.57142857142857,-6.285714285714286,-29.428571428571427,-22.714285714285715,14.857142857142858,-41.57142857142857,-39.714285714285715,-52.714285714285715,-39.285714285714285,-34.0,-18.0,-36.714285714285715,-21.428571428571427,-38.142857142857146,-35.42857142857143,-43.285714285714285,-22.571428571428573
2020-09-26,-41.0,-6.0,-29.0,-23.0,15.285714285714286,-41.714285714285715,-40.57142857142857,-52.57142857142857,-39.57142857142857,-34.0,-18.571428571428573,-36.714285714285715,-21.571428571428573,-37.714285714285715,-35.285714285714285,-42.42857142857143,-21.857142857142858
2020-09-27,-41.142857142857146,-5.571428571428571,-28.142857142857142,-23.142857142857142,15.571428571428571,-41.857142857142854,-40.714285714285715,-52.42857142857143,-39.714285714285715,-34.0,-18.714285714285715,-36.285714285714285,-21.571428571428573,-37.0,-34.42857142857143,-41.285714285714285,-21.0
2020-09-28,-41.714285714285715,-5.142857142857143,-27.714285714285715,-23.0,16.0,-42.285714285714285,-41.0,-52.142857142857146,-40.57142857142857,-33.714285714285715,-18.714285714285715,-36.0,-21.428571428571427,-36.42857142857143,-33.857142857142854,-40.285714285714285,-20.714285714285715
2020-09-29,-41.857142857142854,-4.857142857142857,-27.285714285714285,-23.0,16.142857142857142,-42.42857142857143,-41.142857142857146,-52.0,-41.285714285714285,-33.42857142857143,-18.714285714285715,-35.714285714285715,-21.428571428571427,-36.142857142857146,-33.57142857142857,-39.57142857142857,-21.0
2020-09-30,-41.57142857142857,-4.0,-26.714285714285715,-23.0,15.857142857142858,-42.42857142857143,-40.57142857142857,-51.0,-41.42857142857143,-33.285714285714285,-18.714285714285715,-35.142857142857146,-21.714285714285715,-35.714285714285715,-32.714285714285715,-38.142857142857146,-20.857142857142858
2020-10-01,-41.285714285714285,-3.0,-26.142857142857142,-23.285714285714285,15.142857142857142,-42.142857142857146,-40.42857142857143,-50.857142857142854,-41.0,-33.0,-19.142857142857142,-35.142857142857146,-21.857142857142858,-34.857142857142854,-32.285714285714285,-37.57142857142857,-20.142857142857142
2020-10-02,-40.57142857142857,-1.2857142857142858,-26.0,-26.142857142857142,14.857142857142858,-43.142857142857146,-39.714285714285715,-50.285714285714285,-40.142857142857146,-38.0,-22.142857142857142,-37.0,-25.428571428571427,-36.285714285714285,-32.285714285714285,-37.285714285714285,-19.857142857142858
2020-10-03,-40.142857142857146,-0.42857142857142855,-25.571428571428573,-26.428571428571427,14.0,-43.0,-39.285714285714285,-50.142857142857146,-40.0,-37.714285714285715,-22.428571428571427,-36.857142857142854,-26.0,-35.42857142857143,-31.714285714285715,-36.714285714285715,-19.714285714285715
2020-10-04,-39.857142857142854,0.42857142857142855,-25.285714285714285,-27.285714285714285,13.285714285714286,-42.857142857142854,-38.857142857142854,-50.0,-39.857142857142854,-37.42857142857143,-23.571428571428573,-37.57142857142857,-26.857142857142858,-34.57142857142857,-31.285714285714285,-36.285714285714285,-19.571428571428573
2020-10-05,-39.285714285714285,1.2857142857142858,-24.714285714285715,-27.714285714285715,12.428571428571429,-42.57142857142857,-38.42857142857143,-49.714285714285715,-39.285714285714285,-37.285714285714285,-24.285714285714285,-37.714285714285715,-27.142857142857142,-33.857142857142854,-30.857142857142858,-35.57142857142857,-19.142857142857142
2020-10-06,-38.714285714285715,2.142857142857143,-24.285714285714285,-28.0,11.714285714285714,-42.285714285714285,-37.714285714285715,-49.142857142857146,-38.57142857142857,-37.142857142857146,-24.714285714285715,-37.857142857142854,-27.285714285714285,-33.142857142857146,-30.285714285714285,-34.857142857142854,-18.428571428571427
2020-10-07,-38.285714285714285,2.857142857142857,-24.0,-27.857142857142858,11.285714285714286,-42.0,-37.0,-48.857142857142854,-38.142857142857146,-37.0,-24.571428571428573,-37.714285714285715,-27.142857142857142,-32.714285714285715,-29.857142857142858,-34.42857142857143,-18.285714285714285
2020-10-08,-37.857142857142854,3.2857142857142856,-24.0,-27.428571428571427,11.285714285714286,-41.714285714285715,-36.142857142857146,-48.42857142857143,-38.0,-36.857142857142854,-24.285714285714285,-37.42857142857143,-26.857142857142858,-32.714285714285715,-29.428571428571427,-34.142857142857146,-18.714285714285715
2020-10-09,-37.42857142857143,3.2857142857142856,-23.428571428571427,-24.142857142857142,10.857142857142858,-40.142857142857146,-35.57142857142857,-48.142857142857146,-38.142857142857146,-31.428571428571427,-21.142857142857142,-35.142857142857146,-23.142857142857142,-30.571428571428573,-28.428571428571427,-33.714285714285715,-18.857142857142858
2020-10-10,-37.142857142857146,3.4285714285714284,-23.571428571428573,-24.0,11.285714285714286,-39.857142857142854,-34.714285714285715,-47.857142857142854,-37.857142857142854,-31.571428571428573,-20.857142857142858,-35.0,-22.714285714285715,-30.714285714285715,-28.285714285714285,-34.0,-19.285714285714285
2020-10-11,-36.714285714285715,3.7142857142857144,-23.571428571428573,-23.142857142857142,11.571428571428571,-39.42857142857143,-34.0,-47.57142857142857,-37.42857142857143,-31.285714285714285,-19.714285714285715,-34.285714285714285,-21.857142857142858,-30.714285714285715,-28.0,-34.0,-19.428571428571427
2020-10-12,-36.42857142857143,3.857142857142857,-23.571428571428573,-22.571428571428573,11.857142857142858,-39.142857142857146,-33.142857142857146,-47.285714285714285,-37.142857142857146,-31.0,-19.0,-34.142857142857146,-21.428571428571427,-30.714285714285715,-27.571428571428573,-34.0,-19.714285714285715
2020-10-13,-36.285714285714285,3.857142857142857,-23.714285714285715,-22.142857142857142,12.285714285714286,-38.714285714285715,-32.42857142857143,-47.0,-36.714285714285715,-30.857142857142858,-18.428571428571427,-33.714285714285715,-20.857142857142858,-30.571428571428573,-27.142857142857142,-34.0,-19.857142857142858
2020-10-14,-35.857142857142854,4.142857142857143,-23.714285714285715,-21.857142857142858,12.571428571428571,-38.142857142857146,-31.571428571428573,-47.0,-36.285714285714285,-30.571428571428573,-18.0,-33.57142857142857,-20.428571428571427,-30.285714285714285,-26.571428571428573,-34.42857142857143,-19.857142857142858
2020-10-15,-35.285714285714285,4.714285714285714,-23.285714285714285,-21.714285714285715,12.857142857142858,-37.57142857142857,-30.857142857142858,-47.0,-35.857142857142854,-30.428571428571427,-17.428571428571427,-33.57142857142857,-20.142857142857142,-29.571428571428573,-25.857142857142858,-34.57142857142857,-19.571428571428573
2020-10-16,-34.714285714285715,6.285714285714286,-22.571428571428573,-21.571428571428573,13.0,-36.714285714285715,-30.285714285714285,-46.42857142857143,-35.42857142857143,-30.285714285714285,-17.142857142857142,-33.42857142857143,-20.0,-28.714285714285715,-25.0,-33.857142857142854,-18.857142857142858
2020-10-17,-34.42857142857143,7.142857142857143,-21.857142857142858,-20.857142857142858,13.0,-37.142857142857146,-29.857142857142858,-45.857142857142854,-35.0,-29.714285714285715,-16.285714285714285,-32.857142857142854,-19.285714285714285,-28.714285714285715,-24.142857142857142,-32.857142857142854,-18.142857142857142
2020-10-18,-33.857142857142854,7.714285714285714,-21.142857142857142,-20.428571428571427,13.0,-37.142857142857146,-29.142857142857142,-45.142857142857146,-34.714285714285715,-29.571428571428573,-15.714285714285714,-32.285714285714285,-19.428571428571427,-28.571428571428573,-23.285714285714285,-32.285714285714285,-17.571428571428573
2020-10-19,-33.42857142857143,8.428571428571429,-20.571428571428573,-20.285714285714285,13.142857142857142,-37.285714285714285,-28.428571428571427,-44.714285714285715,-34.42857142857143,-29.428571428571427,-15.714285714285714,-31.857142857142858,-19.428571428571427,-28.428571428571427,-22.428571428571427,-31.857142857142858,-17.142857142857142
2020-10-20,-33.0,9.0,-20.0,-20.142857142857142,13.0,-37.285714285714285,-27.428571428571427,-44.42857142857143,-34.57142857142857,-29.285714285714285,-15.857142857142858,-31.571428571428573,-19.428571428571427,-28.285714285714285,-21.428571428571427,-31.428571428571427,-17.142857142857142
2020-10-21,-32.42857142857143,9.428571428571429,-19.428571428571427,-20.0,12.857142857142858,-37.57142857142857,-26.0,-43.714285714285715,-34.42857142857143,-29.285714285714285,-16.285714285714285,-31.142857142857142,-19.428571428571427,-28.428571428571427,-20.142857142857142,-30.714285714285715,-17.0
2020-10-22,-32.0,9.714285714285714,-19.0,-20.0,12.428571428571429,-37.57142857142857,-24.0,-42.857142857142854,-34.42857142857143,-29.285714285714285,-17.571428571428573,-30.714285714285715,-19.571428571428573,-28.857142857142858,-18.714285714285715,-29.857142857142858,-16.857142857142858
2020-10-23,-31.571428571428573,9.714285714285714,-18.571428571428573,-20.571428571428573,12.0,-38.142857142857146,-22.0,-42.57142857142857,-33.857142857142854,-29.428571428571427,-21.714285714285715,-30.571428571428573,-19.571428571428573,-29.571428571428573,-18.0,-29.571428571428573,-16.571428571428573
2020-10-24,-30.857142857142858,10.285714285714286,-18.0,-21.857142857142858,11.571428571428571,-37.285714285714285,-20.142857142857142,-42.0,-33.42857142857143,-30.0,-26.857142857142858,-30.714285714285715,-19.857142857142858,-29.714285714285715,-17.0,-29.0,-16.142857142857142
2020-10-25,-30.571428571428573,10.428571428571429,-17.571428571428573,-22.714285714285715,11.142857142857142,-36.857142857142854,-18.285714285714285,-41.857142857142854,-33.285714285714285,-30.714285714285715,-30.571428571428573,-31.571428571428573,-17.428571428571427,-29.857142857142858,-15.142857142857142,-28.571428571428573,-15.857142857142858
2020-10-26,-30.285714285714285,10.142857142857142,-17.714285714285715,-24.571428571428573,10.714285714285714,-35.857142857142854,-18.428571428571427,-41.285714285714285,-32.714285714285715,-30.857142857142858,-35.714285714285715,-31.714285714285715,-20.285714285714285,-29.857142857142858,-16.142857142857142,-28.285714285714285,-15.714285714285714
2020-10-27,-29.857142857142858,10.285714285714286,-17.428571428571427,-25.0,10.285714285714286,-35.285714285714285,-19.857142857142858,-40.714285714285715,-32.0,-30.714285714285715,-37.857142857142854,-31.714285714285715,-20.571428571428573,-29.857142857142858,-17.571428571428573,-27.857142857142858,-14.857142857142858
2020-10-28,-29.857142857142858,10.0,-17.285714285714285,-25.285714285714285,10.0,-34.714285714285715,-21.857142857142858,-40.142857142857146,-31.571428571428573,-30.571428571428573,-38.857142857142854,-31.714285714285715,-20.857142857142858,-29.714285714285715,-19.285714285714285,-27.285714285714285,-14.142857142857142
2020-10-29,-29.857142857142858,9.428571428571429,-17.428571428571427,-25.571428571428573,9.857142857142858,-34.57142857142857,-24.285714285714285,-39.857142857142854,-31.0,-30.428571428571427,-38.857142857142854,-31.714285714285715,-21.571428571428573,-29.714285714285715,-21.142857142857142,-27.142857142857142,-13.428571428571429
2020-10-30,-30.142857142857142,8.428571428571429,-18.142857142857142,-26.285714285714285,10.142857142857142,-34.57142857142857,-27.571428571428573,-39.714285714285715,-30.857142857142858,-31.428571428571427,-37.57142857142857,-32.57142857142857,-22.857142857142858,-30.285714285714285,-23.571428571428573,-27.571428571428573,-13.428571428571429
2020-10-31,-30.571428571428573,7.142857142857143,-18.857142857142858,-25.285714285714285,10.142857142857142,-34.714285714285715,-30.571428571428573,-39.714285714285715,-30.857142857142858,-30.857142857142858,-33.57142857142857,-32.0,-22.428571428571427,-30.142857142857142,-25.857142857142858,-27.857142857142858,-13.857142857142858
2020-11-01,-30.428571428571427,7.142857142857143,-19.0,-24.571428571428573,10.285714285714286,-34.285714285714285,-33.57142857142857,-39.0,-30.285714285714285,-29.714285714285715,-31.0,-31.0,-24.571428571428573,-29.714285714285715,-28.714285714285715,-27.285714285714285,-13.857142857142858
2020-11-02,-30.285714285714285,7.428571428571429,-18.714285714285715,-22.714285714285715,10.285714285714286,-34.285714285714285,-34.285714285714285,-38.857142857142854,-30.428571428571427,-29.428571428571427,-26.0,-30.571428571428573,-21.571428571428573,-29.571428571428573,-28.428571428571427,-27.0,-13.857142857142858
2020-11-03,-29.857142857142858,8.0,-18.714285714285715,-22.428571428571427,10.428571428571429,-33.42857142857143,-33.714285714285715,-38.42857142857143,-30.0,-29.285714285714285,-23.857142857142858,-30.428571428571427,-21.285714285714285,-29.428571428571427,-27.857142857142858,-26.857142857142858,-14.142857142857142
2020-11-04,-29.714285714285715,8.142857142857142,-19.0,-22.285714285714285,10.714285714285714,-33.714285714285715,-33.285714285714285,-38.142857142857146,-29.857142857142858,-29.714285714285715,-22.571428571428573,-30.285714285714285,-21.142857142857142,-30.428571428571427,-27.571428571428573,-26.857142857142858,-14.714285714285714
2020-11-05,-29.714285714285715,8.285714285714286,-19.285714285714285,-21.857142857142858,10.857142857142858,-33.857142857142854,-33.0,-37.714285714285715,-29.857142857142858,-29.714285714285715,-21.714285714285715,-30.0,-20.285714285714285,-30.571428571428573,-27.571428571428573,-26.857142857142858,-15.714285714285714
